,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
1,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Morgan Wallen']",I Had Some Help
11,,,,,,,,,,,,,,,,Charli xcx,"['Charli xcx', 'Billie Eilish']",Guess
12,,,,,,,,,,,,,,,,Morgan Wallen,"['Morgan Wallen', 'ERNEST']",Cowgirls
13,,,,,,,,,,,,,,,,Luke Combs,['Luke Combs'],Ain't No Love In Oklahoma
20,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'Kacey Musgraves']",I Remember Everything
21,,,,,,,,,,,,,,,,Dasha,['Dasha'],Austin
26,,,,,,,,,,,,,,,,Koe Wetzel,"['Koe Wetzel', 'Jessie Murph']",High Road
27,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Blake Shelton']",Pour Me A Drink
29,,,,,,,,,,,,,,,,GloRilla,"['GloRilla', 'Megan Thee Stallion']",Wanna Be
30,,,,,,,,,,,,,,,,Hanumankind X Kalmi,['Hanumankind X Kalmi'],Big Dawgs
33,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Luke Combs']",Guy For That
37,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Post Malone']",Fortnight
44,,,,,,,,,,,,,,,,*NSYNC,['*NSYNC'],Bye Bye Bye
45,,,,,,,,,,,,,,,,Megan Thee Stallion,"['Megan Thee Stallion', 'Yuki Chiba']",Mamushi
47,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Playboi Carti', ' Kodak Black', 'Don Toliver']",Field Trip
48,,,,,,,,,,,,,,,,Ella Langley,"['Ella Langley', 'Riley Green']",You Look Like You Love Me
52,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'Morgan Wallen']",Whiskey Whiskey
53,,,,,,,,,,,,,,,,FloyyMenor X Cris Mj,['FloyyMenor X Cris Mj'],Gata Only
57,,,,,,,,,,,,,,,,Central Cee,"['Central Cee', 'Lil Baby']",BAND4BAND
58,,,,,,,,,,,,,,,,mgk,"['mgk', 'Jelly Roll']",Lonely Road
63,,,,,,,,,,,,,,,,Dustin Lynch,"['Dustin Lynch', 'Jelly Roll']",Chevrolet
64,,,,,,,,,,,,,,,,Ice Spice,"['Ice Spice', 'Central Cee']",Did It First
72,,,,,,,,,,,,,,,,Tucker Wetmore,['Tucker Wetmore'],Wind Up Missin' You
75,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Future']",Promotion
76,,,,,,,,,,,,,,,,Luis R Conriquez x Neton Vega,['Luis R Conriquez x Neton Vega'],Si No Quieres No
78,,,,,,,,,,,,,,,,Jessie Murph,"['Jessie Murph', 'Teddy Swims']",Dirty
83,,,,,,,,,,,,,,,,Sexyy Red,"['Sexyy Red', 'Drake']",U My Everything
86,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Fried
87,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Slide
95,,,,,,,,,,,,,,,,Sevdaliza,"['Sevdaliza', ' Pabllo Vittar', 'Yseult']",Alibi
103,,,,,,,,,,,,,,,,Eminem,"['Eminem', ' Big Sean', 'BabyTron']",Tobey
108,,,,,,,,,,,,,,,,Royel Otis,['Royel Otis'],Linger
110,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'John Mayer']",Better Days
121,,,,,,,,,,,,,,,,Kelsea Ballerini,"['Kelsea Ballerini', 'Noah Kahan']",Cowboys Cry Too
132,,,,,,,,,,,,,,,,Katy Perry,['Katy Perry'],Woman's World
135,,,,,,,,,,,,,,,,BossMan DLow,"['BossMan DLow', 'Lil Baby']",PJ
138,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'Bruce Springsteen']",Sandpaper
141,,,,,,,,,,,,,,,,Zach Bryan,['Zach Bryan'],The Great American Bar Scene
145,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'John Moreland']",Memphis; The Blues
154,,,,,,,,,,,,,,,,Camila Cabello,"['Camila Cabello', 'Drake']",Hot Uptown
157,,,,,,,,,,,,,,,,Gracie Abrams,"['Gracie Abrams', 'Taylor Swift']",Us.
161,,,,,,,,,,,,,,,,Jimin,"['Jimin', 'Loco']",Smeraldo Garden Marching Band
165,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Who's Afraid Of Little Old Me?
166,,,,,,,,,,,,,,,,Billie Eilish,['Billie Eilish'],L'amour De Ma Vie
167,,,,,,,,,,,,,,,,Charli XCX,"['Charli XCX', 'Lorde']","Girl, So Confusing"
172,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Texas Hold 'Em
178,,,,,,,,,,,,,,,,Don Toliver,"['Don Toliver', 'Kodak Black']",Brother Stone
182,,,,,,,,,,,,,,,,Jessie Murph,"['Jessie Murph', 'Jelly Roll']",Wild Ones
183,,,,,,,,,,,,,,,,Don Toliver,"['Don Toliver', 'Charlie Wilson', 'Cash Cobain']",Attitude
191,,,,,,,,,,,,,,,,Don Toliver,"['Don Toliver', 'Travis Scott']",Ice Age
197,,,,,,,,,,,,,,,,Â¥$: Ye,"['Â¥$: Ye', 'Ty Dolla $ign', 'Rich The Kid', 'Playboi Carti']",Carnival
199,,,,,,,,,,,,,,,,Travis Scott,"['Travis Scott', 'Playboi Carti']",FE!N
213,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Florence', 'The Machine']",Florida!!!
214,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],The Tortured Poets Department
218,,,,,,,,,,,,,,,,Shoreline Mafia Presents OhGeesy,"['Shoreline Mafia Presents OhGeesy', 'Fenix Flexin']",Heat Stick
219,,,,,,,,,,,,,,,,Fuerza Regida,['Fuerza Regida'],Tu Name
221,,,,,,,,,,,,,,,,21 Savage,['21 Savage'],Redrum
222,,,,,,,,,,,,,,,,Twenty One Pilots,['Twenty One Pilots'],The Craving
224,,,,,,,,,,,,,,,,Kendrick Lamar,['Kendrick Lamar'],Meet The Grahams
226,,,,,,,,,,,,,,,,4Batz,"['4Batz', 'Drake']",Act II: Date @ 8
229,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Offset']",Prada Dem
230,,,,,,,,,,,,,,,,Megan Thee Stallion,['Megan Thee Stallion'],Boa
235,,,,,,,,,,,,,,,,Gunna,['Gunna'],Whatsapp (Wassam)
236,,,,,,,,,,,,,,,,Gunna,['Gunna'],Neck On A Yacht
237,,,,,,,,,,,,,,,,Gunna,['Gunna'],Hakuna Matata
238,,,,,,,,,,,,,,,,Peso Pluma,"['Peso Pluma', ' Junior H', 'Eslabon Armado']",La Durango
239,,,,,,,,,,,,,,,,Gunna,['Gunna'],Collage
240,,,,,,,,,,,,,,,,Lainey Wilson,['Lainey Wilson'],Wildflowers And Wild Horses
243,,,,,,,,,,,,,,,,Stray Kids,"['Stray Kids', 'Charlie Puth']",Lose My Breath
245,,,,,,,,,,,,,,,,Gunna,['Gunna'],Back In The A
254,,,,,,,,,,,,,,,,Myke Towers,"['Myke Towers', 'Bad Bunny']",Adivino
255,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Miley Cyrus']",II Most Wanted
257,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', ' Jennie', 'Lily Rose Depp']",One Of The Girls
259,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Chloe Or Sam Or Sophia Or Marcus
260,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],I Look In People's Windows
266,,,,,,,,,,,,,,,,d4vd,['d4vd'],Feel It
270,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Lil Uzi Vert']",Everybody
273,,,,,,,,,,,,,,,,$uicideBoy$,['$uicideBoy$'],Us Vs. Them
274,,,,,,,,,,,,,,,,310babii,['310babii'],Soak City
279,,,,,,,,,,,,,,,,Luke Combs,['Luke Combs'],Where The Wild Things Are
280,,,,,,,,,,,,,,,,Morgan Wallen,"['Morgan Wallen', 'Eric Church']",Man Made A Bar
289,,,,,,,,,,,,,,,,Future,"['Future', ' Metro Boomin', 'The Weeknd']",All To Myself
290,,,,,,,,,,,,,,,,Future,"['Future', ' Metro Boomin', 'A$AP Rocky']",Show Of Hands
294,,,,,,,,,,,,,,,,Ken Carson,['Ken Carson'],Overseas
296,,,,,,,,,,,,,,,,Future,"['Future', 'Metro Boomin']",We Don't Trust You
297,,,,,,,,,,,,,,,,Xavi,['Xavi'],Corazon de Piedra
298,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Jolene
300,,,,,,,,,,,,,,,,Chris Stapleton,['Chris Stapleton'],I Think I'm In Love With You
303,,,,,,,,,,,,,,,,J. Cole,['J. Cole'],Huntin' Wabbitz
304,,,,,,,,,,,,,,,,Future,"['Future', 'Metro Boomin']",Came To The Party
306,,,,,,,,,,,,,,,,J. Cole,['J. Cole'],7 Minute Drill
307,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Ari Lennox', ' Young Dro', 'Gucci Mane']",Pricey
308,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Bas', 'Central Cee']",H.Y.B.
309,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', ""Cam'Ron""]",Ready '24
313,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Daylyt', 'Ab-Soul']",Pi
314,,,,,,,,,,,,,,,,J. Cole,"['J. Cole', 'Bas']",Stealth Mode
315,,,,,,,,,,,,,,,,J. Cole,['J. Cole'],Trae The Truth In Ibiza
316,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Post Malone']",Levii's Jeans
317,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Bodyguard
319,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Dolly Parton']",Tyrant
320,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],"Yes, And?"
321,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', ' Tanner Adell', ' Brittney Spencer', ' Tiera Kennedy', 'Reyna Roberts']",Blackbiird
323,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Ya Ya
324,,,,,,,,,,,,,,,,Rich Amiri,['Rich Amiri'],One Call
327,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],16 Carriages
328,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Ameriican Requiem
329,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', ' Linda Martell', 'Shaboozey']",Spaghettii
330,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Daughter
331,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Rumi Carter']",Protector
332,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Riiverdance
333,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Alliigator Tears
334,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],My Rose
335,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Willie Jones']",Just For Fun
336,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],II Hands II Heaven
337,,,,,,,,,,,,,,,,Beyonce,"['Beyonce', 'Shaboozey']",Sweet * Honey * Buckiin'
338,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Flamenco
339,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Desert Eagle
340,,,,,,,,,,,,,,,,Tate McRae,['Tate McRae'],Exes
341,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Oh Louisiana
344,,,,,,,,,,,,,,,,Camila Cabello,"['Camila Cabello', 'Playboi Carti']",I Luv It
345,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],Amen
346,,,,,,,,,,,,,,,,Future,"['Future', 'Metro Boomin']",Fried (She A Vibe)
350,,,,,,,,,,,,,,,,Peso Pluma,"['Peso Pluma', ' Tito Double P', 'Joel de La P']",La People II
352,,,,,,,,,,,,,,,,HARDY,['HARDY'],Truck Bed
355,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Is It Over Now? (Taylor's Version) [From The Vault]
357,,,,,,,,,,,,,,,,Future,"['Future', 'Metro Boomin']",Seen It All
358,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],So American
359,,,,,,,,,,,,,,,,Future,"['Future', 'Metro Boomin']",Where My Twin @
360,,,,,,,,,,,,,,,,Shakira,"['Shakira', 'Cardi B']",Punteria
361,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Stranger
362,,,,,,,,,,,,,,,,JID,"['JID', '21 Savage', 'Baby Tate']",Surround Sound
363,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Supernatural
366,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Bye
367,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Eternal Sunshine
368,,,,,,,,,,,,,,,,Hozier,"['Hozier', 'Allison Russell']",Wildflower And Barley
369,,,,,,,,,,,,,,,,Chris Brown,"['Chris Brown', 'Davido', 'Lojay']",Sensational
370,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Scared Of My Guitar
373,,,,,,,,,,,,,,,,Xavi,['Xavi'],La Victima
375,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Girl I've Always Been
377,,,,,,,,,,,,,,,,Morgan Wallen,['Morgan Wallen'],Thinkin' Bout Me
378,,,,,,,,,,,,,,,,Billie Eilish,['Billie Eilish'],What Was I Made For?
379,,,,,,,,,,,,,,,,Jelly Roll,"['Jelly Roll', 'Lainey Wilson']",Save Me
381,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Vampire
383,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],True Story
384,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Don't Wanna Break Up Again
385,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Imperfect For You
387,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],Intro (End Of The World)
388,,,,,,,,,,,,,,,,Fuerza Regida,"['Fuerza Regida', 'Marshmello']",Harley Quinn
389,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Feid']",Perro Negro
390,,,,,,,,,,,,,,,,Ariana Grande,['Ariana Grande'],I Wish I Hated You
393,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', ' Travis Scott', 'Metro Boomin']",Nee-nah
394,,,,,,,,,,,,,,,,Peso Pluma,"['Peso Pluma', 'Anitta']",Bellakeo
400,,,,,,,,,,,,,,,,Kali Uchis,"['Kali Uchis', 'Peso Pluma']",Igual Que Un Angel
402,,,,,,,,,,,,,,,,Ariana Grande,"['Ariana Grande', 'Nonna']",Ordinary Things
403,,,,,,,,,,,,,,,,Nate Smith,['Nate Smith'],World On Fire
405,,,,,,,,,,,,,,,,Jung Kook,['Jung Kook'],Standing Next To You
406,,,,,,,,,,,,,,,,Â¥$: Ye,"['Â¥$: Ye', 'Ty Dolla $ign']",Burn
407,,,,,,,,,,,,,,,,Karol G,"['Karol G', 'Tiesto']",Contigo
408,,,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],My Eyes
409,,,,,,,,,,,,,,,,Offset,"['Offset', 'Don Toliver']",Worth It
410,,,,,,,,,,,,,,,,Â¥$: Ye,"['Â¥$: Ye', 'Ty Dolla $ign']",Fuk Sumn
411,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Rich The Kid', 'Playboi Carti']",Carnival
413,,,,,,,,,,,,,,,,Drake,"['Drake', 'Sexyy Red', 'SZA']",Rich Baby Daddy
414,,,,,,,,,,,,,,,,Victoria Monet,['Victoria Monet'],On My Mama
416,,,,,,,,,,,,,,,,4Batz,['4Batz'],Act II: Date @ 8
417,,,,,,,,,,,,,,,,twenty one pilots,['twenty one pilots'],Overcompensate
418,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Burn
419,,,,,,,,,,,,,,,,Pharrell,"['Pharrell', 'Miley Cyrus']",Doctor (Work It Out)
421,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Fuk Sumn
423,,,,,,,,,,,,,,,,Megan Thee Stallion,['Megan Thee Stallion'],Hiss
424,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', 'Summer Walker']",Prove It
426,,,,,,,,,,,,,,,,Dua Lipa,['Dua Lipa'],Dance The Night
429,,,,,,,,,,,,,,,,mgk,['mgk'],Dont Let Me Go
430,,,,,,,,,,,,,,,,Bad Bunny,['Bad Bunny'],Monaco
431,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Back To Me
432,,,,,,,,,,,,,,,,LE SSERAFIM,['LE SSERAFIM'],Easy
434,,,,,,,,,,,,,,,,Usher,"['Usher', ' Summer Walker', '21 Savage']",Good Good
435,,,,,,,,,,,,,,,,Drake,"['Drake', 'J. Cole']",First Person Shooter
437,,,,,,,,,,,,,,,,Drake,"['Drake', 'Yeat']",IDGAF
438,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'Lil Durk', 'Bump J']",Vultures
440,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Do It
441,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign', 'North West']",Talking
443,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Stars
444,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Paid
445,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Keys To My Life
446,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Paperwork
447,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Beg Forgiveness
448,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Hoodrat
449,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Problematic
450,,,,,,,,,,,,,,,,Noah Kahan,['Noah Kahan'],You're Gonna Go Far
452,,,,,,,,,,,,,,,,Noah Kahan,"['Noah Kahan', 'Kacey Musgraves']",She Calls Me Back
453,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",Good (Don't Die)
454,,,,,,,,,,,,,,,,Â¥$: Kanye West,"['Â¥$: Kanye West', 'Ty Dolla $ign']",King
455,,,,,,,,,,,,,,,,Latto,['Latto'],Sunday Service
457,,,,,,,,,,,,,,,,Gunna,['Gunna'],Fukumean
462,,,,,,,,,,,,,,,,Billy Joel,['Billy Joel'],Turn The Lights Back On
465,,,,,,,,,,,,,,,,21 Savage,['21 Savage'],All Of Me
466,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', 'Doja Cat']",N.H.I.E.
467,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', 'Brent Faiyaz']",Should've Wore A Bonnet
468,,,,,,,,,,,,,,,,Calle 24 x Chino Pacas x Fuerza Regida,['Calle 24 x Chino Pacas x Fuerza Regida'],Que Onda
469,,,,,,,,,,,,,,,,Junior H,['Junior H'],Y Lloro
470,,,,,,,,,,,,,,,,Oscar Ortiz X Edgardo Nunez,['Oscar Ortiz X Edgardo Nunez'],First Love
471,,,,,,,,,,,,,,,,Tom MacDonald X Ben Shapiro,['Tom MacDonald X Ben Shapiro'],Facts
474,,,,,,,,,,,,,,,,Christian Nodal,"['Christian Nodal', 'Peso Pluma']",La Intencion
476,,,,,,,,,,,,,,,,21 Savage,['21 Savage'],Sneaky
478,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Get Him Back!
479,,,,,,,,,,,,,,,,David Kushner,['David Kushner'],Skin And Bones
480,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', ' Lil Durk', 'Metro Boomin']",Dangerous
481,,,,,,,,,,,,,,,,Grupo Frontera,"['Grupo Frontera', 'Grupo Firme']",El Amor de Su Vida
482,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', ' Young Thug', 'Metro Boomin']",Pop Ur Sht
483,,,,,,,,,,,,,,,,Maluma,"['Maluma', 'Carin Leon']",Segun Quien
484,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Can't Catch Me Now
487,,,,,,,,,,,,,,,,Tee Grizzley,"['Tee Grizzley', ' Mariah The Scientist', 'Chris Brown']",IDGAF
488,,,,,,,,,,,,,,,,Dan,"['Dan', 'Shay']",Save Me The Trouble
489,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', ' Tommy Newport', 'Mikky Ekko']",Red Sky
491,,,,,,,,,,,,,,,,21 Savage,['21 Savage'],Letter To My Brudda
492,,,,,,,,,,,,,,,,21 Savage,['21 Savage'],See The Real
493,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', ' Burna Boy', 'Metro Boomin']",Just Like Me
494,,,,,,,,,,,,,,,,Lil Nas X,['Lil Nas X'],J Christ
495,,,,,,,,,,,,,,,,21 Savage,"['21 Savage', 'Mariah The Scientist']",Dark Days
496,,,,,,,,,,,,,,,,Oliver Anthony Music,['Oliver Anthony Music'],Rich Men North Of Richmond
499,,,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],I Know ?
500,,,,,,,,,,,,,,,,Zach Bryan,"['Zach Bryan', 'The War', 'Treaty']",Hey Driver
502,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],You're Losing Me (From The Vault)
503,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Bad Idea Right?
504,,,,,,,,,,,,,,,,Drake,"['Drake', 'SZA']",Slime You Out
505,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Now That We Don't Talk (Taylor's Version) [From The Vault]
506,,,,,,,,,,,,,,,,Juice WRLD,"['Juice WRLD', ' Eminem', 'benny blanco']",Lace It
507,,,,,,,,,,,,,,,,Tate McRae,['Tate McRae'],Run For The Hills
508,,,,,,,,,,,,,,,,Karol G,['Karol G'],Mi Ex Tenia Razon
509,,,,,,,,,,,,,,,,Peso Pluma,"['Peso Pluma', ' Junior H', 'Oscar Maydon']",Rompe La Dompe
510,,,,,,,,,,,,,,,,Dylan Scott,['Dylan Scott'],Can't Have Mine
511,,,,,,,,,,,,,,,,*NSYNC,['*NSYNC'],Better Place
512,,,,,,,,,,,,,,,,Fuerza Regida,['Fuerza Regida'],Sabor Fresa
513,,,,,,,,,,,,,,,,Noah Kahan,"['Noah Kahan', 'Post Malone']",Dial Drunk
514,,,,,,,,,,,,,,,,Karol G,"['Karol G', 'Peso Pluma']",Qlona
515,,,,,,,,,,,,,,,,310babii,['310babii'],Soak City (Do It)
516,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Drake']",Needle
518,,,,,,,,,,,,,,,,Rod Wave,"['Rod Wave', '21 Savage']",Turks & Caicos
519,,,,,,,,,,,,,,,,Karol G,['Karol G'],Amargura
526,,,,,,,,,,,,,,,,Dean Martin,['Dean Martin'],"Let It Snow, Let It Snow, Let It Snow!"
530,,,,,,,,,,,,,,,,"Nat ""King"" Cole","['Nat ""King"" Cole']",The Christmas Song (Merry Christmas To You)
534,,,,,,,,,,,,,,,,Frank Sinatra,"['Frank Sinatra', 'The Orchestra', 'Chorus Of Gordon Jenkins']",Jingle Bells
537,,,,,,,,,,,,,,,,Eartha Kitt,"['Eartha Kitt', 'Henri Rene', 'His Orchestra']",Santa Baby
543,,155.933,False,0.7249999999999999,0.276,7.0,-12.25,1.0,0.0599,0.76,0.0,0.116,0.7169999999999999,112.89,85.0,Perry Como,"['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres', 'His Orchestra']",It's Beginning To Look A Lot Like Christmas
550,,,,,,,,,,,,,,,,Vince Guaraldi Trio,['Vince Guaraldi Trio'],Christmastime Is Here
554,,,,,,,,,,,,,,,,Jackson 5,['Jackson 5'],I Saw Mommy Kissing Santa Claus
555,,,,,,,,,,,,,,,,Gene Autry,"['Gene Autry', 'The Pinafores']",Rudolph The Red-Nosed Reindeer
557,,,,,,,,,,,,,,,,Perry Como,"['Perry Como', 'Mitchell Ayers', 'His Orchestra']",(There's No Place Like) Home For The Holidays (1954)
558,,,,,,,,,,,,,,,,Meghan Trainor,['Meghan Trainor'],Jingle Bells
559,,,,,,,,,,,,,,,,Chloe,['Chloe'],Winter Wonderland
563,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', ' JENNIE', 'Lily Rose Depp']",One Of The Girls
565,,,,,,,,,,,,,,,,Frank Sinatra,"['Frank Sinatra', 'Orchestra Conducted By Gordon Jenkins']",Jingle Bells
568,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'J. Cole']",Let Me Calm Down
572,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Lil Wayne', 'Tate Kobang']",RNB
574,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Lourdiz']",Cowgirl
578,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],My House
581,,,,,,,,,,,,,,,,Jung Kook,"['Jung Kook', 'Jack Harlow']",3D
582,,,,,,,,,,,,,,,,Travis Scott,"['Travis Scott', 'Drake']",Meltdown
584,,,,,,,,,,,,,,,,The Kid LAROI,"['The Kid LAROI', ' Jung Kook', 'Central Cee']",Too Much
585,,,,,,,,,,,,,,,,Kali Uchis,"['Kali Uchis', 'Karol G']",Labios Mordidos
586,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Slut! (Taylor's Version) [From The Vault]
587,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Say Don't Go (Taylor's Version) [From The Vault]
588,,,,,,,,,,,,,,,,Drake,"['Drake', 'J. Cole']",Evil Ways
589,,,,,,,,,,,,,,,,Doechii,"['Doechii', 'Kodak Black']",What It Is (Block Boy)
595,,,,,,,,,,,,,,,,Myke Towers,['Myke Towers'],LaLa
596,,,,,,,,,,,,,,,,Andre 3000,['Andre 3000'],"I Swear, I Really Wanted To Make A ""Rap"" Album But..."
598,,,,,,,,,,,,,,,,Cardi B,"['Cardi B', 'Megan Thee Stallion']",Bongos
599,,,,,,,,,,,,,,,,Drake,"['Drake', '21 Savage']",Calling For You
601,,,,,,,,,,,,,,,,Nicki Minaj,"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World
606,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Bad Blood (Taylor's Version)
611,,,,,,,,,,,,,,,,Jung Kook,"['Jung Kook', 'Latto']",Seven
612,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Suburban Legends (Taylor's Version) [From The Vault]
615,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,"['YoungBoy Never Broke Again', 'Rod Wave']",Better Than Ever
617,,,,,,,,,,,,,,,,Peso Pluma,"['Peso Pluma', ' Gabito Ballesteros', 'Junior H']",Lady Gaga
621,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Young Miko']",Fina
