,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
20,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Is There Someone Else?,1764
21,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Young Thug']",Mop,1765
22,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Gasoline,1766
23,,,,,,,,,,,,,,,,Gunna,['Gunna'],Alotta Cake,1767
24,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Less Than Zero,1768
25,,,,,,,,,,,,,,,,Coldplay x BTS,['Coldplay x BTS'],My Universe,1769
26,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'G Herbo']",IDK That Bitch,1770
27,,,,,,,,,,,,,,,,Zac Brown Band,['Zac Brown Band'],Same Boat,1771
28,,,,,,,,,,,,,,,,Gunna,['Gunna'],Livin Wild,1772
29,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],How Do I Make You Love Me?,1773
30,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', 'Tyler', ' The Creator']",Here We Go... Again,1774
31,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Best Friends,1775
32,,,,,,,,,,,,,,,,The Weeknd,"['The Weeknd', 'Lil Wayne']",I Heard You're Married,1776
33,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Dawn FM,1777
34,,,,,,,,,,,,,,,,Gunna,['Gunna'],Private Island,1778
35,,,,,,,,,,,,,,,,Gunna,['Gunna'],South To West,1779
36,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Chloe']",You & Me,1780
37,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Starry Eyes,1781
38,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Don't Break My Heart,1782
39,,,,,,,,,,,,,,,,Gunna,['Gunna'],Flooded,1783
40,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Chris Brown', 'Yung Bleu']",Die Alone,1784
41,,,,,,,,,,,,,,,,The Weeknd,['The Weeknd'],Every Angel Is Terrifying,1785
42,,,,,,,,,,,,,,,,Jon Pardi,['Jon Pardi'],Tequila Little Time,1786
43,,,,,,,,,,,,,,,,Maneskin,['Maneskin'],Beggin',1787
44,,,,,,,,,,,,,,,,Farruko,['Farruko'],Pepas,1789
45,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Leave The Door Open,1790
46,,207.973,False,0.5959999999999999,0.679,4.0,-6.395,1.0,0.0394,0.7229999999999999,0.0,0.116,0.4789999999999999,131.912,78.0,Ryan Hurd,"['Ryan Hurd', 'Maren Morris']",Chasing After You,1791
47,,,,,,,,,,,,,,,,Oliver Tree,['Oliver Tree'],Life Goes On,1792
48,,,,,,,,,,,,,,,,Wale,"['Wale', 'J. Cole']",Poke It Out,1793
49,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Burn,1794
50,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Drake', 'Travis Scott']",Bubbly,1795
51,,,,,,,,,,,,,,,,Baby Keem,"['Baby Keem', 'Kendrick Lamar']",Family Ties,1796
52,,,,,,,,,,,,,,,,Aventura x Bad Bunny,['Aventura x Bad Bunny'],Volvi,1797
53,,,,,,,,,,,,,,,,H.E.R.,"['H.E.R.', 'Chris Brown']",Come Through,1798
54,,,,,,,,,,,,,,,,Juice WRLD,"['Juice WRLD', 'Justin Bieber']",Wandered To LA.,1799
55,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Already Dead,1800
56,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,"['YoungBoy Never Broke Again', 'Birdman']",Black Ball,1801
57,,,,,,,,,,,,,,,,Polo G,['Polo G'],Bad Man (Smooth Criminal),1802
58,,,,,,,,,,,,,,,,Priscilla Block,['Priscilla Block'],Just About Over You,1803
59,,,,,,,,,,,,,,,,Dan,"['Dan', 'Shay']",Pick Out A Christmas Tree,1804
60,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Christmas Tree Farm (Old Timey Version),1805
61,,,,,,,,,,,,,,,,Camila Cabello,['Camila Cabello'],I'll Be Home For Christmas,1806
62,,,,,,,,,,,,,,,,V,['V'],Christmas Tree,1807
63,,,,,,,,,,,,,,,,Kelly Clarkson,['Kelly Clarkson'],Christmas Isn't Canceled (Just You),1808
64,,,,,,,,,,,,,,,,Roddy Ricch,['Roddy Ricch'],25 Million,1809
65,,,,,,,,,,,,,,,,Roddy Ricch,"['Roddy Ricch', 'Lil Baby']",Moved To Miami,1810
66,,,,,,,,,,,,,,,,Roddy Ricch,"['Roddy Ricch', 'Kodak Black', '21 Savage']",Hibachi,1811
67,,,,,,,,,,,,,,,,Roddy Ricch,['Roddy Ricch'],Thailand,1812
68,,,,,,,,,,,,,,,,Kenny Chesney,['Kenny Chesney'],Knowing You,1813
69,,,,,,,,,,,,,,,,Juice WRLD,"['Juice WRLD', 'SUGA']",Girl Of My Dreams,1814
70,,,,,,,,,,,,,,,,Juice WRLD,"['Juice WRLD', ' Polo G', 'Trippie Redd']",Feline,1815
71,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Rockstar In His Prime,1816
72,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],You Wouldn't Understand,1817
73,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Doom,1819
74,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Go Hard,1820
75,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Not Enough,1821
76,,,,,,,,,,,,,,,,A Boogie Wit da Hoodie,['A Boogie Wit da Hoodie'],Man In The Mirror,1822
77,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],From My Window,1823
78,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Relocate,1824
79,,,,,,,,,,,,,,,,Juice WRLD,['Juice WRLD'],Feel Alone,1825
80,,,,,,,,,,,,,,,,Polo G,"['Polo G', 'Lil Baby']",Don't Play,1826
81,,,,,,,,,,,,,,,,Capella Grey,['Capella Grey'],Gyalis,1827
82,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Lil Baby', 'Lil Durk']",Sharing Locations,1828
83,,,,,,,,,,,,,,,,Polo G,['Polo G'],Young N Dumb,1829
84,,,,,,,,,,,,,,,,Polo G,"['Polo G', 'Moneybagg Yo']",Start Up Again,1830
85,,,,,,,,,,,,,,,,Lee Brice,['Lee Brice'],Memory I Don't Mess With,1831
86,,,,,,,,,,,,,,,,Brent Faiyaz,['Brent Faiyaz'],Mercedes,1832
87,,,,,,,,,,,,,,,,Polo G,['Polo G'],Partin Ways,1833
88,,,,,,,,,,,,,,,,Normani,"['Normani', 'Cardi B']",Wild Side,1834
89,,,,,,,,,,,,,,,,Adele,['Adele'],My Little Love,1835
90,,,,,,,,,,,,,,,,Adele,['Adele'],Can I Get It,1836
91,,,,,,,,,,,,,,,,Adele,['Adele'],I Drink Wine,1837
92,,,,,,,,,,,,,,,,Jessie Murph,['Jessie Murph'],Always Been You,1838
93,,,,,,,,,,,,,,,,Jonas Brothers,['Jonas Brothers'],Who's In Your Head,1839
94,,,,,,,,,,,,,,,,42 Dugg,"['42 Dugg', 'Future']",Maybach,1840
95,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', 'JT']",Ex For A Reason,1841
96,,,,,,,,,,,,,,,,Adele,['Adele'],To Be Loved,1842
97,,,,,,,,,,,,,,,,Adele,['Adele'],Strangers By Nature,1843
98,,,,,,,,,,,,,,,,Adele,['Adele'],Cry Your Heart Out,1844
99,,,,,,,,,,,,,,,,Adele,['Adele'],Hold On,1845
100,,,,,,,,,,,,,,,,Adele,"['Adele', 'Erroll Garner']",All Night Parking (Interlude),1846
101,,,,,,,,,,,,,,,,Adele,['Adele'],Woman Like Me,1847
102,,,,,,,,,,,,,,,,Adele,['Adele'],Love Is A Game,1848
103,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Chris Stapleton']",I Bet You Think About Me (Taylor's Version) (From The Vault),1849
104,,,,,,,,,,,,,,,,State Of Mine,"['State Of Mine', 'Drew Jacobs']",God's Country,1850
105,,,,,,,,,,,,,,,,Amaarae,"['Amaarae', 'Moliy', 'Kali Uchis']",Sad Girlz Luv Money,1851
106,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Red (Taylor's Version),1852
107,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],State Of Grace (Taylor's Version),1853
108,,,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],Escape Plan,1854
109,,,,,,,,,,,,,,,,Eslabon Armado,"['Eslabon Armado', 'DannyLux']",Jugaste y Sufri,1855
110,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Phoebe Bridgers']",Nothing New (Taylor's Version) (From The Vault),1856
111,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],I Knew You Were Trouble (Taylor's Version),1857
112,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Ed Sheeran']",Run (Taylor's Version) (From The Vault),1858
113,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Better Man (Taylor's Version) (From The Vault),1859
114,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],22 (Taylor's Version),1860
115,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Treacherous (Taylor's Version),1861
116,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],We Are Never Ever Getting Back Together (Taylor's Version),1862
117,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],I Almost Do (Taylor's Version),1863
118,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],The Very First Night (Taylor's Version) (From The Vault),1864
119,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Ed Sheeran']",Everything Has Changed (Taylor's Version),1865
120,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Gary Lightbody Of Snow Patrol']",The Last Time (Taylor's Version),1866
121,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Stay Stay Stay (Taylor's Version),1867
122,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)', 'Thundercat', 'Bootsy Collins']",After Last Night,1868
123,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Babe (Taylor's Version) (From The Vault),1869
124,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Blast Off,1870
125,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Skate,1871
126,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Holy Ground (Taylor's Version),1872
127,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Begin Again (Taylor's Version),1873
128,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Put On A Smile,1874
129,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Forever Winter (Taylor's Version) (From The Vault),1875
130,,,,,,,,,,,,,,,,Silk Sonic (Bruno Mars,"['Silk Sonic (Bruno Mars', 'Anderson .Paak)']",Fly As Me,1876
131,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],The Moment I Knew (Taylor's Version),1877
132,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],The Lucky One (Taylor's Version),1878
133,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Sad Beautiful Tragic (Taylor's Version),1879
134,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Come Back...Be Here (Taylor's Version),1880
135,,,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],Starlight (Taylor's Version),1881
136,,,,,,,,,,,,,,,,Rosalia,"['Rosalia', 'The Weeknd']",La Fama,1882
137,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', 'Cardi B']",Bitter,1883
138,,,,,,,,,,,,,,,,Travis Scott,['Travis Scott'],Mafia,1884
139,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Traitor,1885
140,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Throw It Away,1886
141,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Reciprocate,1887
142,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', 'Lil Durk']",Toxic,1888
143,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', 'Ari Lennox']",Unloyal,1889
144,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Constant Bulls**t,1890
145,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],You Don't Know Me,1891
146,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Insane,1892
147,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Circus,1893
148,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],4th Baby Mama,1894
149,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Switch A N*gga Out,1895
150,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Closure,1896
151,,,,,,,,,,,,,,,,Old Dominion,['Old Dominion'],I Was On A Boat That Day,1897
152,,,,,,,,,,,,,,,,Kane Brown X blackbear,['Kane Brown X blackbear'],Memory,1898
153,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Session 33,1899
154,,,,,,,,,,,,,,,,Tai Verdes,['Tai Verdes'],A-O-K,1900
155,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', 'Omarion']",Screwin,1901
156,,,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Broken Promises,1902
157,,,,,,,,,,,,,,,,Summer Walker,"['Summer Walker', ' Pharrell Williams', 'The Neptunes']",Dat Right There,1903
158,,,,,,,,,,,,,,,,Ed Sheeran,['Ed Sheeran'],Overpass Graffiti,1904
159,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Hurricane,1905
160,,,,,,,,,,,,,,,,Jameson Rodgers,"['Jameson Rodgers', 'Luke Combs']",Cold Beer Calling My Name,1906
161,,,,,,,,,,,,,,,,NLE Choppa,"['NLE Choppa', 'Polo G']",Jumpin,1907
162,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Praise God,1908
163,,,,,,,,,,,,,,,,Sleepy Hallow,['Sleepy Hallow'],2055,1909
164,,,,,,,,,,,,,,,,Lil Uzi Vert,['Lil Uzi Vert'],Demon High,1912
165,,,,,,,,,,,,,,,,Dua Lipa,['Dua Lipa'],Love Again,1913
166,,,,,,,,,,,,,,,,Elvie Shane,['Elvie Shane'],My Boy,1914
167,,,,,,,,,,,,,,,,Yung Miami,['Yung Miami'],Rap Freaks,1915
168,,,,,,,,,,,,,,,,Megan Thee Stallion,['Megan Thee Stallion'],Eat It,1916
169,,,,,,,,,,,,,,,,Ivan Cornejo,['Ivan Cornejo'],Esta Danada,1917
170,,,,,,,,,,,,,,,,BIA,"['BIA', 'Nicki Minaj']",Whole Lotta Money,1918
171,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'Lil Durk', 'EST Gee']",Switches & Dracs,1919
172,,,,,,,,,,,,,,,,Tainy,"['Tainy', ' Bad Bunny', 'Julieta Venegas']",Lo Siento BB:/,1920
173,,,,,,,,,,,,,,,,Grupo Firme,['Grupo Firme'],"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",1921
174,,,,,,,,,,,,,,,,Lisa,['Lisa'],Money,1922
175,,,,,,,,,,,,,,,,RealestK,['RealestK'],WFM,1923
176,,,,,,,,,,,,,,,,Loza Alexander,['Loza Alexander'],Lets Go Brandon,1924
177,,,,,,,,,,,,,,,,Bryson Gray,"['Bryson Gray', 'Tyson James', 'Chandler Crump']",Let's Go Brandon,1925
178,,,,,,,,,,,,,,,,Benson Boone,['Benson Boone'],Ghost Town,1926
179,,,,,,,,,,,,,,,,Lil Tjay,"['Lil Tjay', ' Fivio Foreign', 'Kay Flock']",Not In The Mood,1927
180,,,,,,,,,,,,,,,,Megan Thee Stallion,['Megan Thee Stallion'],Thot Shit,1928
181,,,,,,,,,,,,,,,,Lady A,['Lady A'],Like A Lady,1929
182,,,,,,,,,,,,,,,,Drake,['Drake'],No Friends In The Industry,1930
183,,,,,,,,,,,,,,,,Drake,"['Drake', 'Lil Durk', 'Giveon']",In The Bible,1931
184,,,,,,,,,,,,,,,,Doja Cat,['Doja Cat'],Ain't Shit,1932
185,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Nevada,1933
186,,,,,,,,,,,,,,,,Marshmello X Jonas Brothers,['Marshmello X Jonas Brothers'],Leave Before You Love Me,1934
187,,,,,,,,,,,,,,,,Roddy Ricch,['Roddy Ricch'],Late At Night,1936
188,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Post Malone', 'A$AP Rocky']",Livin It Up,1937
189,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'J. Cole', 'T-Shyne']",Stressed,1938
190,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Juice WRLD']",Rich N***a Shit,1939
191,,,,,,,,,,,,,,,,Bad Bunny,['Bad Bunny'],Yonaguni,1940
192,,,,,,,,,,,,,,,,Drake,['Drake'],Champagne Poetry,1941
193,,,,,,,,,,,,,,,,Coldplay X Selena Gomez,['Coldplay X Selena Gomez'],Let Somebody Go,1942
194,,,,,,,,,,,,,,,,Scotty McCreery,['Scotty McCreery'],You Time,1943
195,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Future', 'BSlime']",Peepin Out The Window,1944
196,,,,,,,,,,,,,,,,Pop Smoke,"['Pop Smoke', 'Chris Brown']",Woo Baby,1945
197,,,,,,,,,,,,,,,,Don Toliver,"['Don Toliver', 'Travis Scott']",Flocky Flocky,1946
198,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Daniel Caesar', 'Giveon']",Peaches,1947
199,,,,,,,,,,,,,,,,Rauw Alejandro,['Rauw Alejandro'],Todo de Ti,1948
200,,,,,,,,,,,,,,,,Chase Rice,"['Chase Rice', 'Florida Georgia Line']",Drinkin' Beer. Talkin' God. Amen.,1949
201,,,,,,,,,,,,,,,,Joyner Lucas,"['Joyner Lucas', 'J. Cole']",Your Heart,1950
202,,,,,,,,,,,,,,,,Shawn Mendes,"['Shawn Mendes', 'Tainy']",Summer Of Love,1951
203,,,,,,,,,,,,,,,,Luke Bryan,['Luke Bryan'],Waves,1952
204,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Life Support,1953
205,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Bad Morning,1954
206,,,,,,,,,,,,,,,,Meek Mill,['Meek Mill'],Intro (Hate On Me),1955
207,,,,,,,,,,,,,,,,BTS,['BTS'],Butter,1956
208,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Moneybagg Yo']",Hot,1957
209,,,,,,,,,,,,,,,,Meek Mill,['Meek Mill'],Expensive Pain,1958
210,,,,,,,,,,,,,,,,Meek Mill,['Meek Mill'],On My Soul,1959
211,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Lil Uzi Vert']",Blue Note$ II,1960
212,,,,,,,,,,,,,,,,Meek Mill,['Meek Mill'],Outside (100 MPH),1961
213,,,,,,,,,,,,,,,,Skylar Grey,"['Skylar Grey', ' Polo G', ' Mozzy', 'Eminem']",Last One Standing,1962
214,,,,,,,,,,,,,,,,TWICE,['TWICE'],The Feels,1963
215,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'A$AP Ferg']",Me (FWM),1964
216,,,,,,,,,,,,,,,,Meek Mill,['Meek Mill'],Love Train,1965
217,,,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', 'Rich The Kid']",Feelin Like Tunechi,1966
218,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Kehlani']",Ride For You,1967
219,,,,,,,,,,,,,,,,Drake,['Drake'],TSU,1968
220,,,,,,,,,,,,,,,,Drake,"['Drake', 'JAY-Z']",Love All,1969
221,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],No Where,1970
222,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],On My Side,1971
223,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Hold Me Down,1973
224,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],50 Shots,1974
225,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Smoke Strong,1975
226,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Break Or Make Me,1976
227,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Sincerely,1977
228,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],I Can't Take It Back,1978
229,,,,,,,,,,,,,,,,Lizzo,"['Lizzo', 'Cardi B']",Rumors,1979
230,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Forgiato,1980
231,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Rich Shit,1981
232,,,,,,,,,,,,,,,,Drake,"['Drake', 'Future']",N 2 Deep,1982
233,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Baddest Thing,1983
234,,,,,,,,,,,,,,,,Drake,['Drake'],Pipe Down,1984
235,,,,,,,,,,,,,,,,Drake,['Drake'],Papi's Home,1985
236,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],Toxic Punk,1986
237,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Moon,1987
238,,,,,,,,,,,,,,,,Lil Nas X,"['Lil Nas X', 'Doja Cat']",Scoop,1989
239,,,,,,,,,,,,,,,,Lil Nas X,"['Lil Nas X', 'Megan Thee Stallion']",Dolla Sign Slime,1990
240,,,,,,,,,,,,,,,,DaBaby X Lil Wayne,['DaBaby X Lil Wayne'],Lonely,1991
241,,,,,,,,,,,,,,,,Lil Nas X,['Lil Nas X'],Dead Right Now,1992
242,,,,,,,,,,,,,,,,Lil Nas X,['Lil Nas X'],Tales Of Dominica,1993
243,,,,,,,,,,,,,,,,Lil Nas X,"['Lil Nas X', 'Elton John']",One Of Me,1994
244,,,,,,,,,,,,,,,,Drake,['Drake'],Race My Mind,1995
245,,,,,,,,,,,,,,,,Lil Nas X,['Lil Nas X'],Lost In The Citadel,1996
246,,,,,,,,,,,,,,,,Lil Nas X,['Lil Nas X'],Sun Goes Down,1997
247,,,,,,,,,,,,,,,,Drake,['Drake'],7am On Bridle Path,1998
248,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Off The Grid,1999
249,,,,,,,,,,,,,,,,J Balvin,"['J Balvin', 'Skrillex']",In Da Getto,2000
250,,,,,,,,,,,,,,,,Lil Nas X,"['Lil Nas X', 'Miley Cyrus']",Am I Dreaming,2001
251,,,,,,,,,,,,,,,,Camila Cabello,['Camila Cabello'],Don't Go Yet,2002
252,,,,,,,,,,,,,,,,Baby Keem,"['Baby Keem', 'Kendrick Lamar']",Range Brothers,2004
253,,,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Lil Baby', 'Lil Durk']",Every Chance I Get,2005
254,,,,,,,,,,,,,,,,Drake,"['Drake', 'Kid Cudi']",IMY2,2006
255,,,,,,,,,,,,,,,,Drake,"['Drake', 'Yebba']",Yebba's Heartbreak,2007
256,,,,,,,,,,,,,,,,Drake,"['Drake', 'Ty Dolla $ign']",Get Along Better,2008
257,,,,,,,,,,,,,,,,Drake,"['Drake', 'Lil Wayne', 'Rick Ross']",You Only Live Twice,2009
258,,,,,,,,,,,,,,,,Lisa,['Lisa'],Lalisa,2010
259,,,,,,,,,,,,,,,,Drake,"['Drake', 'Tems']",Fountains,2011
260,,,,,,,,,,,,,,,,Justin Moore,['Justin Moore'],We Didn't Have Much,2013
261,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Jail,2014
262,,,,,,,,,,,,,,,,Drake,['Drake'],Fucking Fans,2015
263,,,,,,,,,,,,,,,,Drake,['Drake'],The Remorse,2016
264,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Ok Ok,2017
265,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Junya,2018
266,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Believe What I Say,2019
267,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Jonah,2020
268,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Jesus Lord,2021
269,,,,,,,,,,,,,,,,Post Malone,['Post Malone'],Motley Crew,2022
270,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Remote Control,2023
271,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],God Breathed,2024
272,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Heaven And Hell,2027
273,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],24,2028
274,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Pure Souls,2029
275,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],No Child Left Behind,2030
276,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Donda,2031
277,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Keep My Spirit Alive,2032
278,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Jail Pt 2,2033
279,,,,,,,,,,,,,,,,Halsey,['Halsey'],"I Am Not A Woman, I'm A God",2034
280,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],New Again,2035
281,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Lord I Need You,2036
282,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Come To Life,2037
283,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],Tell The Vision,2038
284,,,,,,,,,,,,,,,,Olivia Rodrigo,['Olivia Rodrigo'],Brutal,2039
285,,,,,,,,,,,,,,,,Nio Garcia X J Balvin X Bad Bunny,['Nio Garcia X J Balvin X Bad Bunny'],AM,2040
286,,,,,,,,,,,,,,,,Lil Tecca,"['Lil Tecca', 'Gunna']",Repeat It,2041
287,,,,,,,,,,,,,,,,Trippie Redd,"['Trippie Redd', 'Juice WRLD']",Matt Hardy 999,2042
288,,,,,,,,,,,,,,,,Chris Young,"['Chris Young', 'Kane Brown']",Famous Friends,2048
289,,,,,,,,,,,,,,,,Nelly,"['Nelly', 'Florida Georgia Line']",Lil Bit,2049
290,,,,,,,,,,,,,,,,Maroon 5,"['Maroon 5', 'Megan Thee Stallion']",Beautiful Mistakes,2050
291,,,,,,,,,,,,,,,,Trippie Redd,"['Trippie Redd', 'Lil Durk', 'Polo G']",Rich MF,2051
292,,,,,,,,,,,,,,,,Rod Wave,"['Rod Wave', 'Lil Durk']",Already Won,2052
293,,,,,,,,,,,,,,,,Trippie Redd,"['Trippie Redd', 'Drake']",Betrayal,2053
294,,,,,,,,,,,,,,,,Skrillex,"['Skrillex', ' Justin Bieber', 'Don Toliver']",Don't Go,2054
295,,,,,,,,,,,,,,,,Ed Sheeran,['Ed Sheeran'],Visiting Hours,2056
296,,,,,,,,,,,,,,,,Trippie Redd,"['Trippie Redd', 'Lil Uzi Vert']",Holy Smokes,2057
